id,Year,Under 30 (billions),30-39 (billions),40-49 (billions),50-59 (billions),60+ (billions)
1,2004,$147.80 ,$112.30 ,$48.70 ,$29.50 ,$6.30 
2,2005,$162.40 ,$127.60 ,$56.40 ,$36.40 ,$8.20 
3,2006,$196.30 ,$154.80 ,$69.80 ,$48.20 ,$12.20 
4,2007,$219.80 ,$174.50 ,$80.00 ,$56.40 ,$15.90 
5,2008,$250.90 ,$205.40 ,$94.40 ,$67.60 ,$20.40 
6,2009,$275.90 ,$232.20 ,$109.00 ,$78.50 ,$25.30 
7,2010,$301.20 ,$261.20 ,$128.50 ,$89.60 ,$30.80 
8,2011,$316.40 ,$282.00 ,$141.70 ,$97.00 ,$35.40 
9,2012,$322.70 ,$320.20 ,$167.30 ,$111.30 ,$43.00 
10,2013,$362.00 ,$354.10 ,$188.10 ,$124.90 ,$49.80 
11,2014,$370.50 ,$383.10 ,$207.60 ,$136.50 ,$57.70 
12,2015,$376.40 ,$408.40 ,$229.60 ,$149.70 ,$66.70 
13,2016,$383.20 ,$437.40 ,$255.60 ,$163.20 ,$76.30 
14,2017,$383.80 ,$461.00 ,$278.90 ,$177.20 ,$85.40 
